"columnx","columny",values,"region"
"Annual Ridership","Length", -0.2945888189921,"Europe"
"Annual Ridership","Stations",-0.190417377041733,"Europe"
"Length","Stations",0.958094502701641,"Europe"
"Annual Ridership","Length", 0.0807637966758054,"Asia"
"Annual Ridership","Stations",0.124084385990358,"Asia"
"Length","Stations",0.998204357627779,"Asia"
"Annual Ridership","Length", 0.323086549111336,"South America"
"Annual Ridership","Stations",0.252289937601719,"South America"
"Length","Stations",0.942512563234838,"South America"
"Annual Ridership","Length", -1,"North America"
"Annual Ridership","Stations",-1,"North America"
"Length","Stations",1,"North America"
"Annual Ridership","Length", -1,"Africa"
"Annual Ridership","Stations",-1,"Africa"
"Length","Stations",1,"Africa"
